module,package,controller,tag,class_base_path,http_method,method_path,full_path,java_method,pre_authorize,required_feature,source,line
tchalanet-server,com.tchalanet.server.platform.tenantgame.internal.web,TenantGameAdminController,Admin • Games,/admin/games,GET,,/admin/games,list,"hasPermission(null, 'tenantgame.read')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenantgame/internal/web/TenantGameAdminController.java,45
tchalanet-server,com.tchalanet.server.platform.tenantgame.internal.web,TenantGameAdminController,Admin • Games,/admin/games,GET,/catalog,/admin/games/catalog,catalog,"hasPermission(null, 'tenantgame.read')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenantgame/internal/web/TenantGameAdminController.java,65
tchalanet-server,com.tchalanet.server.platform.identity.internal.web.admin,IdentityUserAdminController,Admin • Identity Users,/admin/identity/users,GET,,/admin/identity/users,list,"hasAnyRole('TENANT_ADMIN','SUPER_ADMIN')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/identity/internal/web/admin/IdentityUserAdminController.java,71
tchalanet-server,com.tchalanet.server.platform.identity.internal.web.admin,IdentityUserAdminController,Admin • Identity Users,/admin/identity/users,POST,,/admin/identity/users,create,"hasAnyRole('TENANT_ADMIN','SUPER_ADMIN')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/identity/internal/web/admin/IdentityUserAdminController.java,105
tchalanet-server,com.tchalanet.server.platform.notification.internal.web,AdminNotificationController,Admin • Notifications,/admin/notifications,GET,,/admin/notifications,list,hasRole('TENANT_ADMIN') or hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/notification/internal/web/AdminNotificationController.java,45
tchalanet-server,com.tchalanet.server.platform.notification.internal.web,AdminNotificationController,Admin • Notifications,/admin/notifications,POST,,/admin/notifications,create,hasRole('TENANT_ADMIN') or hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/notification/internal/web/AdminNotificationController.java,65
tchalanet-server,com.tchalanet.server.platform.notification.internal.web,AdminNotificationController,Admin • Notifications,/admin/notifications,GET,/deliveries,/admin/notifications/deliveries,deliveries,hasRole('TENANT_ADMIN') or hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/notification/internal/web/AdminNotificationController.java,97
tchalanet-server,com.tchalanet.server.platform.notification.internal.web,AdminNotificationController,Admin • Notifications,/admin/notifications,GET,/summary,/admin/notifications/summary,summary,hasRole('TENANT_ADMIN') or hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/notification/internal/web/AdminNotificationController.java,38
tchalanet-server,com.tchalanet.server.features.tenantadmin.overview,TenantAdminOverviewController,Tenant Admin • Overview,/admin,GET,/overview,/admin/overview,overview,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/overview/TenantAdminOverviewController.java,22
tchalanet-server,com.tchalanet.server.core.pagemodel.internal.infra.web,PageModelAdminController,Admin • PageModel,/admin/pagemodels,GET,,/admin/pagemodels,list,hasRole('SUPER_ADMIN'),,tchalanet-core/src/main/java/com/tchalanet/server/core/pagemodel/internal/infra/web/PageModelAdminController.java,46
tchalanet-server,com.tchalanet.server.core.pagemodel.internal.infra.web,PageModelAdminController,Admin • PageModel,/admin/pagemodels,POST,,/admin/pagemodels,create,hasRole('SUPER_ADMIN'),,tchalanet-core/src/main/java/com/tchalanet/server/core/pagemodel/internal/infra/web/PageModelAdminController.java,71
tchalanet-server,com.tchalanet.server.core.limitpolicy.internal.infra.web.admin,LimitPolicyAdminController,Limit Policy • Admin,/admin/policies/limits,GET,/assignments,/admin/policies/limits/assignments,listAssignments,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/limitpolicy/internal/infra/web/admin/LimitPolicyAdminController.java,49
tchalanet-server,com.tchalanet.server.core.limitpolicy.internal.infra.web.admin,LimitPolicyAdminController,Limit Policy • Admin,/admin/policies/limits,PUT,/assignments,/admin/policies/limits/assignments,upsertAssignment,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/limitpolicy/internal/infra/web/admin/LimitPolicyAdminController.java,61
tchalanet-server,com.tchalanet.server.core.limitpolicy.internal.infra.web.admin,LimitPolicyAdminController,Limit Policy • Admin,/admin/policies/limits,GET,/rules,/admin/policies/limits/rules,listAvailableRules,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/limitpolicy/internal/infra/web/admin/LimitPolicyAdminController.java,92
tchalanet-server,com.tchalanet.server.core.promotion.internal.infra.web.admin,PromotionCampaignAdminController,Promotion • Campaigns • Admin,/admin/promotions/campaigns,GET,,/admin/promotions/campaigns,list,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/promotion/internal/infra/web/admin/PromotionCampaignAdminController.java,48
tchalanet-server,com.tchalanet.server.core.promotion.internal.infra.web.admin,PromotionCampaignAdminController,Promotion • Campaigns • Admin,/admin/promotions/campaigns,POST,,/admin/promotions/campaigns,create,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/promotion/internal/infra/web/admin/PromotionCampaignAdminController.java,68
tchalanet-server,com.tchalanet.server.core.promotion.internal.infra.web.admin,PromotionCampaignAdminController,Promotion • Campaigns • Admin,/admin/promotions/campaigns,POST,/templates/default-maryaj-gratis/instantiate,/admin/promotions/campaigns/templates/default-maryaj-gratis/instantiate,instantiateDefaultMaryajGratis,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/promotion/internal/infra/web/admin/PromotionCampaignAdminController.java,89
tchalanet-server,com.tchalanet.server.core.promotion.internal.infra.web.admin,PromotionRuleAdminController,Promotion • Rules • Admin,/admin/promotions/campaigns/{campaignId}/rules,POST,,/admin/promotions/campaigns/{campaignId}/rules,addRule,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/promotion/internal/infra/web/admin/PromotionRuleAdminController.java,43
tchalanet-server,com.tchalanet.server.core.sellerterminal.internal.infra.web.admin,SellerTerminalAdminController,Seller-terminals • Admin,/admin/seller-terminals,GET,,/admin/seller-terminals,list,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/sellerterminal/internal/infra/web/admin/SellerTerminalAdminController.java,59
tchalanet-server,com.tchalanet.server.core.sellerterminal.internal.infra.web.admin,SellerTerminalAdminController,Seller-terminals • Admin,/admin/seller-terminals,POST,,/admin/seller-terminals,create,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/sellerterminal/internal/infra/web/admin/SellerTerminalAdminController.java,85
tchalanet-server,com.tchalanet.server.features.tenantadmin.setup,AdminSetupController,Admin • Setup,/admin/setup,GET,/draw-sales-matrix,/admin/setup/draw-sales-matrix,drawSalesMatrix,"hasPermission(null, 'tenantgame.read')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/setup/AdminSetupController.java,30
tchalanet-server,com.tchalanet.server.features.tenantadmin.setup,AdminSetupController,Admin • Setup,/admin/setup,GET,/games-pricing,/admin/setup/games-pricing,gamesPricing,"hasPermission(null, 'tenantgame.read')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/setup/AdminSetupController.java,24
tchalanet-server,com.tchalanet.server.core.haiti.internal.infra.web.adminapi,AdminTchalaController,Admin • Tchala,/admin/tchala,POST,/approve,/admin/tchala/approve,approve,hasRole('SUPER_ADMIN'),,tchalanet-core/src/main/java/com/tchalanet/server/core/haiti/internal/infra/web/adminapi/AdminTchalaController.java,73
tchalanet-server,com.tchalanet.server.core.haiti.internal.infra.web.adminapi,AdminTchalaController,Admin • Tchala,/admin/tchala,POST,/delete,/admin/tchala/delete,deleteEntries,hasRole('SUPER_ADMIN'),,tchalanet-core/src/main/java/com/tchalanet/server/core/haiti/internal/infra/web/adminapi/AdminTchalaController.java,136
tchalanet-server,com.tchalanet.server.core.haiti.internal.infra.web.adminapi,AdminTchalaController,Admin • Tchala,/admin/tchala,POST,/import,/admin/tchala/import,uploadImport,hasRole('SUPER_ADMIN'),,tchalanet-core/src/main/java/com/tchalanet/server/core/haiti/internal/infra/web/adminapi/AdminTchalaController.java,106
tchalanet-server,com.tchalanet.server.core.haiti.internal.infra.web.adminapi,AdminTchalaController,Admin • Tchala,/admin/tchala,POST,/merge,/admin/tchala/merge,merge,hasRole('SUPER_ADMIN'),,tchalanet-core/src/main/java/com/tchalanet/server/core/haiti/internal/infra/web/adminapi/AdminTchalaController.java,95
tchalanet-server,com.tchalanet.server.core.haiti.internal.infra.web.adminapi,AdminTchalaController,Admin • Tchala,/admin/tchala,GET,/pending,/admin/tchala/pending,pending,hasRole('SUPER_ADMIN'),,tchalanet-core/src/main/java/com/tchalanet/server/core/haiti/internal/infra/web/adminapi/AdminTchalaController.java,48
tchalanet-server,com.tchalanet.server.core.haiti.internal.infra.web.adminapi,AdminTchalaController,Admin • Tchala,/admin/tchala,POST,/reject,/admin/tchala/reject,reject,hasRole('SUPER_ADMIN'),,tchalanet-core/src/main/java/com/tchalanet/server/core/haiti/internal/infra/web/adminapi/AdminTchalaController.java,87
tchalanet-server,com.tchalanet.server.features.tenantadmin.tenant,AdminTenantController,Tenant Admin • Tenant,/admin/tenant,PUT,,/admin/tenant,updateIdentity,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/tenant/AdminTenantController.java,40
tchalanet-server,com.tchalanet.server.features.tenantadmin.tenant,AdminTenantConfigController,Tenant Admin • Config,/admin/tenant-config,GET,,/admin/tenant-config,getConfig,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/tenant/AdminTenantConfigController.java,34
tchalanet-server,com.tchalanet.server.features.tenantadmin.tenant,AdminTenantConfigController,Tenant Admin • Config,/admin/tenant-config,GET,/communication,/admin/tenant-config/communication,getCommunication,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/tenant/AdminTenantConfigController.java,42
tchalanet-server,com.tchalanet.server.features.tenantadmin.tenant,AdminTenantConfigController,Tenant Admin • Config,/admin/tenant-config,GET,/document,/admin/tenant-config/document,getDocument,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/tenant/AdminTenantConfigController.java,48
tchalanet-server,com.tchalanet.server.features.tenantadmin.tenant,AdminTenantConfigController,Tenant Admin • Config,/admin/tenant-config,PUT,/internal-settings,/admin/tenant-config/internal-settings,updateSettings,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/tenant/AdminTenantConfigController.java,54
tchalanet-server,com.tchalanet.server.features.tenantadmin.tenant,AdminTenantController,Tenant Admin • Tenant,/admin/tenant,GET,/address,/admin/tenant/address,getAddress,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/tenant/AdminTenantController.java,34
tchalanet-server,com.tchalanet.server.features.tenantadmin.tenant,AdminTenantController,Tenant Admin • Tenant,/admin/tenant,PUT,/address,/admin/tenant/address,upsertAddress,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/tenant/AdminTenantController.java,50
tchalanet-server,com.tchalanet.server.platform.tenanttheme.internal.web,TenantThemeAdminController,Admin • Theme,/admin/theme,DELETE,,/admin/theme,deactivate,hasPermission('theme.manage'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenanttheme/internal/web/TenantThemeAdminController.java,77
tchalanet-server,com.tchalanet.server.platform.tenanttheme.internal.web,TenantThemeAdminController,Admin • Theme,/admin/theme,GET,,/admin/theme,get,hasPermission('theme.read'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenanttheme/internal/web/TenantThemeAdminController.java,41
tchalanet-server,com.tchalanet.server.platform.tenanttheme.internal.web,TenantThemeAdminController,Admin • Theme,/admin/theme,POST,/preset,/admin/theme/preset,applyPreset,hasPermission('theme.manage'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenanttheme/internal/web/TenantThemeAdminController.java,53
tchalanet-server,com.tchalanet.server.platform.tenanttheme.internal.web,TenantThemeAdminController,Admin • Theme,/admin/theme,GET,/presets,/admin/theme/presets,listPresets,hasPermission('theme.read'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenanttheme/internal/web/TenantThemeAdminController.java,47
tchalanet-server,com.tchalanet.server.platform.tenanttheme.internal.web,TenantThemeAdminController,Admin • Theme,/admin/theme,PATCH,/settings,/admin/theme/settings,updateSettings,hasPermission('theme.manage'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenanttheme/internal/web/TenantThemeAdminController.java,65
tchalanet-server,com.tchalanet.server.platform.identity.internal.web.me,IdentityActivationController,Identity • Activation,/identity/me,POST,/complete-first-login,/identity/me/complete-first-login,completeFirstLogin,isAuthenticated(),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/identity/internal/web/me/IdentityActivationController.java,25
tchalanet-server,com.tchalanet.server.platform.identity.internal.web,IdentityUserCrudController,Identity • User CRUD,/identity/users,GET,,/identity/users,search,hasPermission('user.read'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/identity/internal/web/IdentityUserCrudController.java,44
tchalanet-server,com.tchalanet.server.platform.identity.internal.web,IdentityUserCrudController,Identity • User CRUD,/identity/users,POST,,/identity/users,create,hasPermission('user.create'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/identity/internal/web/IdentityUserCrudController.java,64
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,PlatformArchiveController,Platform - Archive,/platform/archive,GET,/objects/invalid,/platform/archive/objects/invalid,listInvalidObjects,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/PlatformArchiveController.java,121
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,PlatformArchiveController,Platform - Archive,/platform/archive,GET,/ops-summary,/platform/archive/ops-summary,opsSummary,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/PlatformArchiveController.java,128
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,PlatformArchiveController,Platform - Archive,/platform/archive,POST,/partition-cleanup/execute,/platform/archive/partition-cleanup/execute,executePartitionCleanup,hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/PlatformArchiveController.java,102
